fecha,EST,LAT,LONG,TEMPERATURA,PH,OXIGENO_DISUELTO,CONDUCTIVIDAD,TURBIEDAD,ALCALINIDAD_TOTAL,CLORUROS_TOTALES,DUREZA_TOTAL,FLUORUROS,NITROGENO_DE_NITRATOS,NITROGENO_DE_NITRITOS,NITROGENO_AMONIACAL,NITROGENO_TOTAL_KJELDAHL,SULFATOS,SAAM,DBO_5,DQO,GRASAS_Y_ACEITES,FOSFORO_TOTAL,SST,SOLIDOS_DISUELTOS_TOT,SOLIDOS_SEDIMENTABLES,SULFUROS,ALUMINIO,ARSENICO,BARIO,CADMIO,COBRE,CROMO,FIERRO,MANGANESO,MERCURIO,NIQUEL,PLOMO,SODIO,ZINC,COLIFORMES_TOTALES,COLIFORMES_FECALES,MATERIA_FLOTANTE,TEMP_AMBIENTE,ACIDEZ_TOTAL,DUREZA_DE_CALCIO,SOLIDOS_TOTALES,NITROGENO_TOTAL
26/10/10,RS-01,20.346928,-102.779392,19.3,7.26,1.21,479,8.9,173,28.71,168,0.32,0,0,0.99,3.41,53.41,0.435,13.53,43.71,0,0.54,13,337,0,6.4,0,0,0,0,0,0,0.676,1.116,0,0,0,28.4,0.103,460000,93000,1,18,0,0,350,3.41
11/11/19,RS-01,20.346928,-102.779392,22,6.4,5.27,393,19,157.15,20.54,120.24,0.3,0.39,0,1.91,3.43,22.72,0.64,6.39,25.86,0,1.24,17,251,0,0,0.367,0,0.119,0,0,0,1.352,0.223,0,0,0,0,0,11,11,0,25,22.17,68.31,268,3.82
29/08/17,RS-01,20.346928,-102.779392,23,7.52,0,333,60,113.81,15.61,104.61,0.33,1.37,0.501,1.15,2.64,36.33,0,19.5,26.2,0,1.05,47,273,0,0,4.9524,0,0.0701,0.00133,0,0,3.341,0.181,0,0,0.0033,19.15,0.026,4,4,0,22,0,0,320,4.51
06/09/21,RS-01,20.346928,-102.779392,22,6.9,4.8,447,90,145.73,27.47,115.31,0.39,0.34,0.335,3.37,4.17,42.67,0,5.64,67.56,0,1.32,72.88,360.12,0,1.66,10.2,0.0097,0.128,0,0,0,4.277,0.264,0,0,0.0118,35,0.033,240,240,0,25,17.86,67.82,433,4.85
17/07/14,RS-01,20.346928,-102.779392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/05/17,RS-01,20.346928,-102.779392,24.6,8.44,0,1060,50,358.05,66.14,264.31,1.96,0,0,0,3.64,127.55,0,4.56,45.12,0,0.51,40,713,0,3.1,3.938,0.005,0.2373,7.00E-04,0,0,2.568,0.077,0,0,0.0046,128.64,0,46,24,0,27.9,0,0,753,3.64
20/01/20,RS-01,20.346928,-102.779392,19,7.6,6.19,1301,29,327.59,54.33,238.41,2,0.63,0.021,0.63,1.72,88.82,0,1.53,28.54,0,0.64,24,602,0,0.65,2.16,0.0122,0.408,0,0,0,1.718,0.064,8.40E-04,0,0,89.7,0.029,24,9,0,20,16.18,115.62,626,2.37
01/10/14,RS-01,20.346928,-102.779392,21.6,7.4,3.8,34.3,130,108,17.4,102.41,0,2.58,0.163,1.93,4.33,33.88,0.19,3.83,52.28,0,0.96,122,298,0.2,0.85,12.496,0,0,0,0,0,9.838,0.155,8.20E-04,0,0,18.3,0.04,1,1,0,20.3,0,0,420,5.9
01/09/15,RS-01,20.346928,-102.779392,24.7,7.35,3.64,365,9.4,144.45,17.27,100.6,0.44,0.69,0.706,1.3,2.18,17.3,0,5.64,0,0,0.97,7,264,0,2.2,0.165,0,0,0,0,0,0.705,0.2,0,0,0,17.7,0.042,750,430,0,28.5,0,0,271,3.58
07/11/13,RS-01,20.346928,-102.779392,22.1,7.38,2.62,294,40,122.16,11.66,98.87,0.28,1.34,0.771,0.87,2.03,14.75,0.28,5.05,37.38,0,0.62,30,248,0,0,0.3117,0,0,5.30E-04,0,0,1.023,0.091,0,0,0.0031,10.1,0.035,150000,28000,1,26,0,0,0,0
